SRC	TRG	PINYIN_STR	PINYIN_CHAR
n o r d b e r g	诺 德 伯 格	nuo de bo ge	n u o d e b o g e
g a u t	高 特	gao te	g a o t e
d a f o e	达 福	da fu	d a f u
w i n e g a r	瓦 恩 加	wa en jia	w a e n j i a
w a g o n e r	瓦 戈 纳	wa ge na	w a g e n a
s c h m i t t e n	施 米 滕	shi mi teng	s h i m i t e n g
c o w p e r t h w a i t e	考 珀 思 韦 特	kao po si wei te	k a o p o s i w e i t e
m a c v e y	麦 克 维 伊	mai ke wei yi	m a i k e w e i y i
k a l i	凯 莉	kai li	k a i l i
b r a s s e y	布 拉 西	bu la xi	b u l a x i
b l o o m i n g d a l e	布 卢 明 代 尔	bu lu ming dai er	b u l u m i n g d a i e r
c o u c h	库 奇	ku qi	k u q i
t r o m b i n o	特 龙 比 诺	te long bi nuo	t e l o n g b i n u o
d e n e c k e	德 内 克	de nei ke	d e n e i k e
g i m b e l	金 贝 尔	jin bei er	j i n b e i e r
t i t c o m b e	蒂 特 科 姆	di te ke mu	d i t e k e m u
a n n e l i e s e	安 纳 利 斯	an na li si	a n n a l i s i
g i l b y	吉 尔 比	ji er bi	j i e r b i
r u l k o e t e r	鲁 尔 克 特	lu er ke te	l u e r k e t e
r e i g h a r d	赖 格 哈 德	lai ge ha de	l a i g e h a d e
a g u t t e r	阿 格 特	a ge te	a g e t e
s c h n u r r	施 努 尔	shi nu er	s h i n u e r
s a m	萨 姆	sa mu	s a m u
l a v i n e	拉 文	la wen	l a w e n
w i t k e	威 特 克	wei te ke	w e i t e k e
g i l b r e t h	吉 尔 布 雷 思	ji er bu lei si	j i e r b u l e i s i
f u r k	弗 克	fu ke	f u k e
c h a p d l e r	查 普 德 勒	cha pu de le	c h a p u d e l e
c a u g h a n	考 恩	kao en	k a o e n
a l t m a n n	奥 尔 特 曼	ao er te man	a o e r t e m a n
k e a n e	基 恩	ji en	j i e n
b r a i n e r d	布 雷 纳 德	bu lei na de	b u l e i n a d e
f e t t e r	费 特	fei te	f e i t e
m a c c a l l u m	麦 卡 勒 姆	mai ka le mu	m a i k a l e m u
d i b i a g g i o	迪 比 亚 乔	di bi ya qiao	d i b i y a q i a o
m o r o s k y	莫 罗 斯 基	mo luo si ji	m o l u o s i j i
c h e t w y n d	切 特 温 德	qie te wen de	q i e t e w e n d e
w o l v e r s o n	沃 尔 弗 森	wo er fu sen	w o e r f u s e n
a l w y n e	阿 尔 文	a er wen	a e r w e n
c o m a n o r	科 马 诺	ke ma nuo	k e m a n u o
d i r e s t a	迪 雷 斯 塔	di lei si ta	d i l e i s i t a
b u d i n g e r	巴 丁 杰	ba ding jie	b a d i n g j i e
e r y n	埃 琳	ai lin	a i l i n
m c g i v e r i n	麦 吉 弗 林	mai ji fu lin	m a i j i f u l i n
s p e n c e r	斯 潘 塞	si pan sai	s i p a n s a i
h a e s s l e	黑 斯 尔	hei si er	h e i s i e r
m a c i l d o w i e	麦 基 尔 杜 伊	mai ji er du yi	m a i j i e r d u y i
b r u n d r e t t	布 伦 德 里 特	bu lun de li te	b u l u n d e l i t e
f a i r c l o u g h	费 尔 克 拉 夫	fei er ke la fu	f e i e r k e l a f u
s h e a r m e	舍 姆	she mu	s h e m u
y o r k i n	约 金	yue jin	y u e j i n
t i e d e m a n	蒂 德 曼	di de man	d i d e m a n
p e n z i a s	彭 齐 亚 斯	peng qi ya si	p e n g q i y a s i
t a t o m	塔 托 姆	ta tuo mu	t a t u o m u
b e r b e r i c h	伯 布 里 克	bo bu li ke	b o b u l i k e
n i c h o l e t t s	尼 科 利 茨	ni ke li ci	n i k e l i c i
g e a c h	吉 奇	ji qi	j i q i
k o o n e n	库 嫩	ku nen	k u n e n
b a t s o n	巴 特 森	ba te sen	b a t e s e n
c a s s i d y	卡 西 迪	ka xi di	k a x i d i
p a l l e s	帕 利 斯	pa li si	p a l i s i
a r r a n d e l l	阿 伦 德 尔	a lun de er	a l u n d e e r
o g e r u s	奥 格 勒 斯	ao ge le si	a o g e l e s i
c l a s e y	克 拉 西	ke la xi	k e l a x i
k i r k s	柯 克 斯	ke ke si	k e k e s i
p u d s e y	帕 齐	pa qi	p a q i
m e n z l e r	门 兹 勒	men zi le	m e n z i l e
m a n k e l	曼 克 尔	man ke er	m a n k e e r
b e a m e r	比 默	bi mo	b i m o
c o n o l l y	康 诺 利	kang nuo li	k a n g n u o l i
s h a l l e c k	沙 莱 克	sha lai ke	s h a l a i k e
b a y f i e l d	贝 菲 尔 德	bei fei er de	b e i f e i e r d e
h i r s t	赫 斯 特	he si te	h e s i t e
m e y e r i n g h	迈 耶 林	mai ye lin	m a i y e l i n
r o w n t r e e	朗 特 里	lang te li	l a n g t e l i
g o w a n	高 恩	gao en	g a o e n
c r i c k a r d	克 里 卡 德	ke li ka de	k e l i k a d e
d a l l e k	达 莱 克	da lai ke	d a l a i k e
h o e f l i n	赫 夫 林	he fu lin	h e f u l i n
b a s n e t t	巴 斯 尼 特	ba si ni te	b a s i n i t e
h a s e m a n	黑 斯 曼	hei si man	h e i s i m a n
a l i c e n	艾 莉 森	ai li sen	a i l i s e n
d e g a v r e	德 加 弗	de jia fu	d e j i a f u
z a p p u l l a	扎 普 拉	zha pu la	z h a p u l a
w o r s t	沃 斯 特	wo si te	w o s i t e
d u b l i n	达 布 林	da bu lin	d a b u l i n
e u s t a c i u s	尤 斯 塔 修 斯	you si ta xiu si	y o u s i t a x i u s i
k e m p e l m a n	肯 普 尔 曼	ken pu er man	k e n p u e r m a n
s t a s t n y	斯 塔 斯 特 尼	si ta si te ni	s i t a s i t e n i
f o w n e s	福 恩 斯	fu en si	f u e n s i
s p i r i d i o n	斯 皮 里 迪 恩	si pi li di en	s i p i l i d i e n
p o d e l l	波 德 尔	bo de er	b o d e e r
l o t b i n i e r e	洛 特 比 尼 埃	luo te bi ni ai	l u o t e b i n i a i
a l b i n s o n	阿 尔 宾 森	a er bin sen	a e r b i n s e n
t e l p h e r e	特 尔 菲 尔	te er fei er	t e e r f e i e r
a l b e r i c	阿 尔 伯 里 克	a er bo li ke	a e r b o l i k e
o v e t a	奥 维 塔	ao wei ta	a o w e i t a
h e l s t a d	赫 尔 斯 塔 德	he er si ta de	h e e r s i t a d e
h o l t z o f f	霍 尔 佐 夫	huo er zuo fu	h u o e r z u o f u
d e l h e y	德 尔 希	de er xi	d e e r x i
c r a n f i e l d	克 兰 菲 尔 德	ke lan fei er de	k e l a n f e i e r d e
w a t k i s s	沃 基 斯	wo ji si	w o j i s i
c h a r n e y	查 尼	cha ni	c h a n i
d r a h m a n n	德 拉 曼	de la man	d e l a m a n
m a g u i r e l	马 圭 雷 尔	ma gui lei er	m a g u i l e i e r
d a y s	戴 斯	dai si	d a i s i
j e f f	杰 夫	jie fu	j i e f u
b e c h t o l	贝 克 托 尔	bei ke tuo er	b e i k e t u o e r
g l a c k e n s	格 拉 肯 斯	ge la ken si	g e l a k e n s i
c h a b o n	沙 邦	sha bang	s h a b a n g
w o l f i t	沃 尔 菲 特	wo er fei te	w o e r f e i t e
m o a k l e y	莫 克 利	mo ke li	m o k e l i
d o r c u s	多 克 斯	duo ke si	d u o k e s i
h e r b e r s	赫 伯 斯	he bo si	h e b o s i
f a s s l e r	法 斯 勒	fa si le	f a s i l e
r e d g r a v	雷 德 格 雷 夫	lei de ge lei fu	l e i d e g e l e i f u
m a u l t s b y	莫 尔 茨 比	mo er ci bi	m o e r c i b i
a r n a u d	阿 诺	a nuo	a n u o
h e n d o n	亨 登	heng deng	h e n g d e n g
c e r n y	塞 尔 尼	sai er ni	s a i e r n i
p e r s k i e	珀 斯 基	po si ji	p o s i j i
a p p o l o n i a	阿 波 洛 尼 娅	a bo luo ni ya	a b o l u o n i y a
s t u r c	斯 图 克	si tu ke	s i t u k e
k n o p p	诺 普	nuo pu	n u o p u
l u b y	卢 比	lu bi	l u b i
d e n n e s	丹 尼 斯	dan ni si	d a n n i s i
g r e e n s t o n e	格 林 斯 通	ge lin si tong	g e l i n s i t o n g
b e r c o v i t z	伯 科 维 茨	bo ke wei ci	b o k e w e i c i
c o r e a	科 里 亚	ke li ya	k e l i y a
k l e i n d i n s t	克 兰 丁 斯 特	ke lan ding si te	k e l a n d i n g s i t e
h o r n y a k	霍 尼 亚 克	huo ni ya ke	h u o n i y a k e
m u s k a	马 斯 卡	ma si ka	m a s i k a
m a y e r	迈 耶	mai ye	m a i y e
s c o g i n g s	斯 科 金 斯	si ke jin si	s i k e j i n s i
m a s s e r e e n e	马 塞 林	ma sai lin	m a s a i l i n
d e n o b l e	德 诺 布 尔	de nuo bu er	d e n u o b u e r
m c d a v i d	麦 克 戴 维	mai ke dai wei	m a i k e d a i w e i
v e r i n d e r	韦 林 德	wei lin de	w e i l i n d e
r o b i c h a u d	罗 比 肖	luo bi xiao	l u o b i x i a o
i b a n e z	伊 巴 涅 斯	yi ba nie si	y i b a n i e s i
c a r i s t o n	卡 里 斯 顿	ka li si dun	k a l i s i d u n
i n c h b a l d	英 奇 博 尔 德	ying qi bo er de	y i n g q i b o e r d e
l a t h o m	莱 瑟 姆	lai se mu	l a i s e m u
f u r r y	弗 里	fu li	f u l i
k a t s a r o s	卡 察 罗 斯	ka cha luo si	k a c h a l u o s i
s e l f	塞 尔 夫	sai er fu	s a i e r f u
v i d e a n	维 迪 恩	wei di en	w e i d i e n
k u s h n e t	库 什 内 特	ku shi nei te	k u s h i n e i t e
r a k o f	雷 科 夫	lei ke fu	l e i k e f u
k o u t s	考 茨	kao ci	k a o c i
j e n t	詹 特	zhan te	z h a n t e
r u d u l p h	鲁 道 夫	lu dao fu	l u d a o f u
d r e s s e r	德 雷 瑟	de lei se	d e l e i s e
h o u m i n e r	霍 米 纳	huo mi na	h u o m i n a
h e s s i o n	赫 申	he shen	h e s h e n
s k e m p	斯 肯 普	si ken pu	s i k e n p u
h u e s m a n n	休 斯 曼	xiu si man	x i u s i m a n
b u r k s t r a n d	伯 克 斯 特 兰 德	bo ke si te lan de	b o k e s i t e l a n d e
k u r a n d a	库 兰 达	ku lan da	k u l a n d a
h a w k e s w o r t h	霍 克 斯 沃 思	huo ke si wo si	h u o k e s i w o s i
h o u r y	霍 里	huo li	h u o l i
a b r a h a m s o n	阿 伯 拉 罕 森	a bo la han sen	a b o l a h a n s e n
t i t s h a l l	蒂 歇 尔	di xie er	d i x i e e r
r i e g e l	里 格 尔	li ge er	l i g e e r
c l a v e	克 拉 夫	ke la fu	k e l a f u
w o l k s t e i n	沃 尔 克 斯 坦	wo er ke si tan	w o e r k e s i t a n
f r u d d e n	弗 鲁 登	fu lu deng	f u l u d e n g
a l l e r s	阿 勒 斯	a le si	a l e s i
g a m p e l l	甘 佩 尔	gan pei er	g a n p e i e r
k n i s e l y	尼 斯 利	ni si li	n i s i l i
n e w b y	纽 比	niu bi	n i u b i
q u a d r o	夸 德 罗	kua de luo	k u a d e l u o
y a c h t	约 特	yue te	y u e t e
m o u t o n	穆 顿	mu dun	m u d u n
h e n r i c k s	亨 里 克 斯	heng li ke si	h e n g l i k e s i
k l a u s s e n	克 劳 森	ke lao sen	k e l a o s e n
j a i n	贾 因	jia yin	j i a y i n
e l v i n	埃 尔 文	ai er wen	a i e r w e n
g e r l a c h	格 拉 克	ge la ke	g e l a k e
b i c k h a m	比 卡 姆	bi ka mu	b i k a m u
c o d r a r o	科 德 拉 罗	ke de la luo	k e d e l a l u o
c o r b e t t	科 比 特	ke bi te	k e b i t e
d a n w o r t h	丹 沃 思	dan wo si	d a n w o s i
k o s s l y n	科 斯 林	ke si lin	k e s i l i n
b u l l i n g a	布 林 加	bu lin jia	b u l i n j i a
s h e l l s h e a r	谢 尔 希 尔	xie er xi er	x i e e r x i e r
h o s e r	霍 泽	huo ze	h u o z e
c o r d e l i a	科 迪 莉 亚	ke di li ya	k e d i l i y a
m a t t i e	马 蒂	ma di	m a d i
b a s h w i n e r	巴 什 威 纳	ba shi wei na	b a s h i w e i n a
m a e s t a	梅 斯 塔	mei si ta	m e i s i t a
w y l a n d	怀 兰	huai lan	h u a i l a n
f r e k e	弗 里 克	fu li ke	f u l i k e
r e p t o n	雷 普 顿	lei pu dun	l e i p u d u n
g o u d g e	古 奇	gu qi	g u q i
d i e t s c h	迪 奇	di qi	d i q i
s t i f f l e r	斯 蒂 夫 勒	si di fu le	s i d i f u l e
m a r k e r	马 克	ma ke	m a k e
z i n s e r	津 瑟	jin se	j i n s e
g r o b e r g	格 罗 伯 格	ge luo bo ge	g e l u o b o g e
b a r t e l m e z	巴 特 尔 梅 兹	ba te er mei zi	b a t e e r m e i z i
w i n l a w	温 洛	wen luo	w e n l u o
n e w z a m	纽 扎 姆	niu zha mu	n i u z h a m u
h a u g e r	豪 格	hao ge	h a o g e
s u m m e r s k i l l	萨 默 斯 基 尔	sa mo si ji er	s a m o s i j i e r
s c o b e y	斯 科 比	si ke bi	s i k e b i
c a m b i a i r e	坎 比 埃 尔	kan bi ai er	k a n b i a i e r
j e n k e n s	詹 肯 斯	zhan ken si	z h a n k e n s i
m i r r i e l e e s	米 里 利 斯	mi li li si	m i l i l i s i
s i g o u r n e y	西 戈 尼	xi ge ni	x i g e n i
d e c a r l i	德 卡 利	de ka li	d e k a l i
b a y l a y	贝 利	bei li	b e i l i
r y d e n o u r	赖 德 诺 尔	lai de nuo er	l a i d e n u o e r
a u g u s t y n	奥 古 斯 丁	ao gu si ding	a o g u s i d i n g
h e d g p e t h	赫 奇 佩 思	he qi pei si	h e q i p e i s i
s t a l l o n e	斯 塔 隆	si ta long	s i t a l o n g
r o v i n e	罗 文	luo wen	l u o w e n
h o e l k e r	赫 尔 克	he er ke	h e e r k e
m e l l u p s	梅 拉 普 斯	mei la pu si	m e i l a p u s i
e l l e n o r	埃 莉 诺	ai li nuo	a i l i n u o
c r a c k e l	克 拉 克 尔	ke la ke er	k e l a k e e r
c a l l a n	卡 伦	ka lun	k a l u n
c o t m a n	科 特 曼	ke te man	k e t e m a n
r e v e s	里 夫 斯	li fu si	l i f u s i
b r a i d e	布 雷 德	bu lei de	b u l e i d e
b o f i n g e r	博 芬 格	bo fen ge	b o f e n g e
i o s s i	约 西	yue xi	y u e x i
l y o e l l	莱 昂 内 尔	lai ang nei er	l a i a n g n e i e r
m a c l e a r y	麦 克 利 里	mai ke li li	m a i k e l i l i
m a s o n	梅 森	mei sen	m e i s e n
c o s a n d	科 桑 德	ke sang de	k e s a n g d e
s k e t c h	斯 凯 奇	si kai qi	s i k a i q i
s k e l h o r n	斯 凯 霍 恩	si kai huo en	s i k a i h u o e n
l a n g r i d g e	兰 格 里 奇	lan ge li qi	l a n g e l i q i
m c b a n e	麦 克 贝 恩	mai ke bei en	m a i k e b e i e n
c o r r e y	科 里	ke li	k e l i
p r u i t t	普 鲁 伊 特	pu lu yi te	p u l u y i t e
c r o f f o r d	克 罗 福 德	ke luo fu de	k e l u o f u d e
a d s h e a d	阿 谢 德	a xie de	a x i e d e
a r o n s t e i n	阿 伦 斯 坦	a lun si tan	a l u n s i t a n
m o r r e n	莫 伦	mo lun	m o l u n
b e l l i n g e r	贝 林 杰	bei lin jie	b e i l i n j i e
h a l v e r s o n	霍 尔 沃 森	huo er wo sen	h u o e r w o s e n
g i g i	吉 吉	ji ji	j i j i
a c h h a m m e r	阿 查 默	a cha mo	a c h a m o
s h a r y l	谢 里 尔	xie li er	x i e l i e r
e l n o r	埃 尔 诺	ai er nuo	a i e r n u o
b e n s i n h o m	本 辛 霍 姆	ben xin huo mu	b e n x i n h u o m u
b u r n e	伯 恩	bo en	b o e n
b e a u p r e	博 普 雷	bo pu lei	b o p u l e i
f i n n e m o r e	芬 尼 莫 尔	fen ni mo er	f e n n i m o e r
k r i s t i n a	克 里 斯 蒂 娜	ke li si di na	k e l i s i d i n a
c a r r o l	卡 罗 尔	ka luo er	k a l u o e r
d o r s k i n d	多 斯 金 德	duo si jin de	d u o s i j i n d e
r u s e	鲁 斯	lu si	l u s i
f e a r n l e y	费 恩 利	fei en li	f e i e n l i
a l f v e n	阿 尔 文	a er wen	a e r w e n
m a c d i a r m i d	麦 克 迪 尔 米 德	mai ke di er mi de	m a i k e d i e r m i d e
a l s p a c h	阿 尔 斯 波	a er si bo	a e r s i b o
f r a w l e y	弗 劳 利	fu lao li	f u l a o l i
c h e n e r y	切 纳 里	qie na li	q i e n a l i
f i n t e l l	芬 特 尔	fen te er	f e n t e e r
q u e l l e n e c	凯 莱 内 克	kai lai nei ke	k a i l a i n e i k e
b r i d d l e	布 里 德 尔	bu li de er	b u l i d e e r
m i l h o l l i n	米 尔 霍 林	mi er huo lin	m i e r h u o l i n
m a c k l e	麦 克 尔	mai ke er	m a i k e e r
d o l m e t s c h	多 尔 梅 奇	duo er mei qi	d u o e r m e i q i
f r o e s e	弗 勒 泽	fu le ze	f u l e z e
d o r m a n	多 尔 曼	duo er man	d u o e r m a n
c o n q u e s t	康 奎 斯 特	kang kui si te	k a n g k u i s i t e
b i l d e r	比 尔 德	bi er de	b i e r d e
w a r r e	沃 尔	wo er	w o e r
h i n c h c l i f f e	欣 奇 克 利 夫	xin qi ke li fu	x i n q i k e l i f u
b i r k e r t s	伯 克 茨	bo ke ci	b o k e c i
c o l l e t	科 利 特	ke li te	k e l i t e
s h i e l d	希 尔 德	xi er de	x i e r d e
b o l g i a n o	博 尔 贾 诺	bo er jia nuo	b o e r j i a n u o
t o m a y k o	托 迈 科	tuo mai ke	t u o m a i k e
b a r n i d g e	巴 尼 奇	ba ni qi	b a n i q i
b a h m e r	巴 默	ba mo	b a m o
r e n t o u l	伦 图 尔	lun tu er	l u n t u e r
d a g a t a	达 加 塔	da jia ta	d a j i a t a
d a n e l l e	达 内 尔	da nei er	d a n e i e r
c u l l i n a n e	卡 利 南	ka li nan	k a l i n a n
h a m l e y	哈 姆 利	ha mu li	h a m u l i
v e n n	维 恩	wei en	w e i e n
l e a p h a r t	利 普 哈 特	li pu ha te	l i p u h a t e
c o d u s	科 德 斯	ke de si	k e d e s i
h e t t e r	赫 特	he te	h e t e
r a p h	拉 夫	la fu	l a f u
m a l l e n d e r	马 伦 德	ma lun de	m a l u n d e
c r o s s k e y	克 罗 斯 基	ke luo si ji	k e l u o s i j i
v a s k e n	瓦 斯 肯	wa si ken	w a s i k e n
w a l l e t	沃 利 特	wo li te	w o l i t e
g o d i n e z	戈 迪 内 斯	ge di nei si	g e d i n e i s i
s w a n z y	斯 旺 齐	si wang qi	s i w a n g q i
d e m a t t i e s	德 马 蒂 斯	de ma di si	d e m a d i s i
h o l l a e n d e r	霍 兰 德	huo lan de	h u o l a n d e
n e u f f e r	诺 伊 弗	nuo yi fu	n u o y i f u
s e a y	西 伊	xi yi	x i y i
p e t e r f i e l d	彼 得 菲 尔 德	bi de fei er de	b i d e f e i e r d e
r a l l	拉 尔	la er	l a e r
w o o d r i d g e	伍 德 里 奇	wu de li qi	w u d e l i q i
r a a b e r g	拉 伯 格	la bo ge	l a b o g e
l o u i s a	路 易 莎	lu yi sha	l u y i s h a
k i d s o n	基 德 森	ji de sen	j i d e s e n
a b o l i n s	阿 博 林 斯	a bo lin si	a b o l i n s i
s t i e h l e r	斯 蒂 勒	si di le	s i d i l e
s h r o n t z	施 龙 茨	shi long ci	s h i l o n g c i
n u n n s	纳 恩 斯	na en si	n a e n s i
j o s h u a	乔 舒 亚	qiao shu ya	q i a o s h u y a
d e n i n g	德 宁	de ning	d e n i n g
f u s h m a n	富 什 曼	fu shi man	f u s h i m a n
t u h e	图 赫	tu he	t u h e
b u r g e s	伯 吉 斯	bo ji si	b o j i s i
b a i l l	贝 尔	bei er	b e i e r
h a s l e y	哈 斯 利	ha si li	h a s i l i
h a m m e r s l e y	哈 默 斯 利	ha mo si li	h a m o s i l i
m u n i	穆 尼	mu ni	m u n i
r o m e l l	罗 梅 尔	luo mei er	l u o m e i e r
f a s h	法 什	fa shi	f a s h i
b l a k e f i e l d	布 莱 克 菲 尔 德	bu lai ke fei er de	b u l a i k e f e i e r d e
s p r a t l i n g	斯 普 拉 特 林	si pu la te lin	s i p u l a t e l i n
s e l e n a	塞 莱 娜	sai lai na	s a i l a i n a
h i g g i n b o t h a m	希 金 博 特 姆	xi jin bo te mu	x i j i n b o t e m u
c o g g a n	科 根	ke gen	k e g e n
b i v e n s	比 文 斯	bi wen si	b i w e n s i
g e a n n o p u l o s	金 诺 普 洛 斯	jin nuo pu luo si	j i n n u o p u l u o s i
s t r u d w i c k	斯 特 拉 德 威 克	si te la de wei ke	s i t e l a d e w e i k e
e l l i c e	埃 利 斯	ai li si	a i l i s i
c h e k e	奇 克	qi ke	q i k e
c a i t h n e s s	凯 思 尼 斯	kai si ni si	k a i s i n i s i
f e m i n g	费 明	fei ming	f e i m i n g
l u c a r	卢 卡	lu ka	l u k a
s y n n o t t	辛 诺 特	xin nuo te	x i n n u o t e
s o r t r u p	索 特 拉 普	suo te la pu	s u o t e l a p u
h a l l i g a n	哈 利 根	ha li gen	h a l i g e n
l e w e s	刘 易 斯	liu yi si	l i u y i s i
g o l d b o l d	戈 德 博 尔 德	ge de bo er de	g e d e b o e r d e
w e n h a m	韦 纳 姆	wei na mu	w e i n a m u
w a l s t o n	沃 尔 斯 顿	wo er si dun	w o e r s i d u n
i s m e n a	伊 斯 梅 娜	yi si mei na	y i s i m e i n a
i s s l e i b	伊 斯 莱 布	yi si lai bu	y i s i l a i b u
c o s s e y n	科 赛 因	ke sai yin	k e s a i y i n
e i s s m a n	艾 斯 曼	ai si man	a i s i m a n
w a r t h i n	沃 辛	wo xin	w o x i n
v a r g	瓦 格	wa ge	w a g e
s t o l a r o w	斯 托 拉 罗	si tuo la luo	s i t u o l a l u o
d i v e r s	戴 弗 斯	dai fu si	d a i f u s i
h o r v i t z	霍 维 茨	huo wei ci	h u o w e i c i
b i d d e r m a n	比 德 曼	bi de man	b i d e m a n
s c h o y e r	斯 科 耶 尔	si ke ye er	s i k e y e e r
s p e t h	斯 佩 思	si pei si	s i p e i s i
c a l a h a n	卡 拉 汉	ka la han	k a l a h a n
d r i s c h l e r	德 里 施 勒	de li shi le	d e l i s h i l e
s t o l z b e r g	斯 托 尔 兹 伯 格	si tuo er zi bo ge	s i t u o e r z i b o g e
w i n d h a m	温 德 姆	wen de mu	w e n d e m u
w o t h e s p o o n	沃 西 斯 庞	wo xi si pang	w o x i s i p a n g
z i n m a n	津 曼	jin man	j i n m a n
c r a i g i e	克 雷 吉	ke lei ji	k e l e i j i
i d e m a n	伊 德 曼	yi de man	y i d e m a n
n a h m	纳 姆	na mu	n a m u
p o l t i m o r e	波 尔 蒂 莫 尔	bo er di mo er	b o e r d i m o e r
h e r m o g e n e s	赫 莫 杰 尼 斯	he mo jie ni si	h e m o j i e n i s i
s o u t h e r n e	萨 瑟 恩	sa se en	s a s e e n
t o m b r o s	汤 布 罗 斯	tang bu luo si	t a n g b u l u o s i
b o u r r e t	布 雷	bu lei	b u l e i
g i t t l e r	吉 特 勒	ji te le	j i t e l e
k i t t l e	基 特 尔	ji te er	j i t e e r
p a r t e n	帕 滕	pa teng	p a t e n g
m i t t e l m a n	米 特 尔 曼	mi te er man	m i t e e r m a n
c h e e k	奇 克	qi ke	q i k e
m a c l o y	麦 克 洛 伊	mai ke luo yi	m a i k e l u o y i
b l a c k a d a r	布 莱 卡 达	bu lai ka da	b u l a i k a d a
s t o c k b u r g e r	斯 托 克 伯 格	si tuo ke bo ge	s i t u o k e b o g e
m o r t m a n	莫 特 曼	mo te man	m o t e m a n
c h a d d o c k	查 多 克	cha duo ke	c h a d u o k e
t r u m p	特 朗 普	te lang pu	t e l a n g p u
v i l l a r e a l	维 拉 里 尔	wei la li er	w e i l a l i e r
n a u m	瑙 姆	nao mu	n a o m u
r e n s c h l e r	伦 施 勒	lun shi le	l u n s h i l e
g r a b o w	格 拉 博	ge la bo	g e l a b o
l u c k e y	勒 基	le ji	l e j i
m c c l u e r	麦 克 卢 尔	mai ke lu er	m a i k e l u e r
s t a n i l a n d	斯 塔 尼 兰	si ta ni lan	s i t a n i l a n
b r a y	布 雷	bu lei	b u l e i
w o o s t e r	伍 斯 特	wu si te	w u s i t e
f u h r m a n	富 尔 曼	fu er man	f u e r m a n
a l d i s s	奥 尔 迪 斯	ao er di si	a o e r d i s i
a y a n a	艾 安 娜	ai an na	a i a n n a
e n g l i s h	英 格 利 希	ying ge li xi	y i n g g e l i x i
s w i n d l e r	斯 温 德 勒	si wen de le	s i w e n d e l e
s p i l l m a n	斯 皮 尔 曼	si pi er man	s i p i e r m a n
r a b b a t t s	拉 巴 茨	la ba ci	l a b a c i
b o r a n d o n	博 兰 登	bo lan deng	b o l a n d e n g
k i n g m a	金 马	jin ma	j i n m a
d e h a a n	德 哈 恩	de ha en	d e h a e n
w i n t e m u t e	温 特 穆 特	wen te mu te	w e n t e m u t e
w o n d e r	旺 德	wang de	w a n g d e
s t a n l a w s	斯 坦 劳 斯	si tan lao si	s i t a n l a o s i
j o u g h i n	乔 因	qiao yin	q i a o y i n
a v r a h m	阿 夫 拉 姆	a fu la mu	a f u l a m u
c h y v e l a h	希 维 拉	xi wei la	x i w e i l a
g e r b e r t	格 伯 特	ge bo te	g e b o t e
j o k e	乔 克	qiao ke	q i a o k e
d e f f i g o s	德 菲 戈 斯	de fei ge si	d e f e i g e s i
k i n g h a m	金 厄 姆	jin e mu	j i n e m u
l o t s b e r g	洛 茨 伯 格	luo ci bo ge	l u o c i b o g e
d e s e r i e	德 塞 里	de sai li	d e s a i l i
a g g a r	阿 加 尔	a jia er	a j i a e r
m a r x	马 克 思	ma ke si	m a k e s i
d e s m o n d	德 斯 蒙 德	de si meng de	d e s i m e n g d e
i m i r i e	艾 米 里	ai mi li	a i m i l i
r u s h h o l t	拉 什 霍 尔 特	la shi huo er te	l a s h i h u o e r t e
o r d e n	奥 登	ao deng	a o d e n g
e a d w e a r d	埃 德 沃 德	ai de wo de	a i d e w o d e
p o e h l	波 尔	bo er	b o e r
b u c k e l s	巴 克 尔 斯	ba ke er si	b a k e e r s i
c a r s l a w	卡 斯 劳	ka si lao	k a s i l a o
g o u r l a y	古 尔 利	gu er li	g u e r l i
a n g l e m a n	安 格 尔 曼	an ge er man	a n g e e r m a n
s t a l m a n	斯 塔 尔 曼	si ta er man	s i t a e r m a n
m o n a s e e	莫 纳 西	mo na xi	m o n a x i
h o l l o w e l l	霍 洛 韦 尔	huo luo wei er	h u o l u o w e i e r
a c k n e r	阿 克 纳	a ke na	a k e n a
s h o r t t	肖 特	xiao te	x i a o t e
k a z a n	卡 赞	ka zan	k a z a n
f r e y e r	弗 里 尔	fu li er	f u l i e r
v i l l a r	维 勒	wei le	w e i l e
c h o y	乔 伊	qiao yi	q i a o y i
p e t t i c a n	佩 蒂 肯	pei di ken	p e i d i k e n
f o u c h	福 奇	fu qi	f u q i
m u r t a g h	默 塔	mo ta	m o t a
l i n d e n b e r g	林 登 堡	lin deng bao	l i n d e n g b a o
d e m o s	迪 莫 斯	di mo si	d i m o s i
l o o s l i	卢 斯 利	lu si li	l u s i l i
w a l g r e n	沃 尔 格 伦	wo er ge lun	w o e r g e l u n
a l m e i d a	阿 尔 梅 达	a er mei da	a e r m e i d a
s e s s a n y	塞 萨 尼	sai sa ni	s a i s a n i
c a y d e n	凯 登	kai deng	k a i d e n g
h o w d e n	豪 登	hao deng	h a o d e n g
h a m e l i n	哈 梅 林	ha mei lin	h a m e i l i n
t a n c r e t o	坦 克 雷 托	tan ke lei tuo	t a n k e l e i t u o
g o r l i n	戈 林	ge lin	g e l i n
r i i s	里 斯	li si	l i s i
m a n c h i p	曼 希 普	man xi pu	m a n x i p u
p o n t i o u s	庞 修 斯	pang xiu si	p a n g x i u s i
r o j a s	罗 贾 斯	luo jia si	l u o j i a s i
